,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
11,1B,2B,Stolen Base 2B,545361,Mike Trout,608665,Kendall Graveman,457708,Justin Upton,R,Bruce Maxwell,622194,1,3,5,True,2017-09-05,Stolen,2B,2017,2018, 80.5, 0.73
12,2B,3B,Stolen Base 3B,408252,Brandon Phillips,501563,Simon Castro,457708,Justin Upton,R,Bruce Maxwell,622194,5,6,4,True,2017-09-04,Stolen,3B,2017,2018, 80.5, 0.73
13,1B,2B,Stolen Base 2B,545361,Mike Trout,501563,Simon Castro,457708,Justin Upton,R,Bruce Maxwell,622194,5,6,4,True,2017-09-04,Stolen,2B,2017,2018, 80.5, 0.73
14,1B,2B,Stolen Base 2B,516416,Jean Segura,640455,Sean Manaea,571745,Mitch Haniger,L,Bruce Maxwell,622194,2,2,3,False,2017-09-01,Stolen,2B,2017,2018, 80.5, 0.73
15,1B,2B,Stolen Base 2B,571745,Mitch Haniger,640455,Sean Manaea,429664,Robinson Canó,L,Bruce Maxwell,622194,2,2,3,False,2017-09-01,Stolen,2B,2017,2018, 80.5, 0.73
16,1B,2B,Stolen Base 2B,514888,Jose Altuve,608665,Kendall Graveman,502210,Josh Reddick,R,Bruce Maxwell,622194,0,0,4,False,2017-08-19,Stolen,2B,2017,2018, 80.5, 0.73
17,1B,,Caught Stealing 2B,514888,Jose Altuve,623430,Ryan Dull,493329,Yuli Gurriel,R,Bruce Maxwell,622194,3,0,8,False,2017-08-19,Caught,2B,2017,2018, 80.5, 0.73
18,1B,2B,Stolen Base 2B,593160,Whit Merrifield,605194,Jharel Cotton,456715,Lorenzo Cain,R,Bruce Maxwell,622194,0,0,1,True,2017-08-14,Stolen,2B,2017,2018, 80.5, 0.73
19,1B,2B,Stolen Base 2B,460086,Alex Gordon,605194,Jharel Cotton,595956,Cam Gallagher,R,Bruce Maxwell,622194,1,2,2,True,2017-08-14,Stolen,2B,2017,2018, 80.5, 0.73
20,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,501563,Simon Castro,543333,Eric Hosmer,R,Bruce Maxwell,622194,2,6,7,True,2017-08-14,Stolen,2B,2017,2018, 80.5, 0.73
21,1B,2B,Stolen Base 2B,592325,Ben Gamel,605194,Jharel Cotton,502481,Jarrod Dyson,R,Bruce Maxwell,622194,0,3,1,True,2017-08-09,Stolen,2B,2017,2018, 80.5, 0.73
22,1B,2B,Stolen Base 2B,516416,Jean Segura,605194,Jharel Cotton,475174,Yonder Alonso,R,Bruce Maxwell,622194,2,5,4,True,2017-08-09,Stolen,2B,2017,2018, 80.5, 0.73
23,1B,2B,Stolen Base 2B,545361,Mike Trout,501563,Simon Castro,405395,Albert Pujols,R,Bruce Maxwell,622194,6,4,4,False,2017-08-06,Stolen,2B,2017,2018, 80.5, 0.73
24,2B,3B,Stolen Base 3B,519184,Ben Revere,501563,Simon Castro,460060,Cliff Pennington,R,Bruce Maxwell,622194,8,5,5,False,2017-08-06,Stolen,3B,2017,2018, 80.5, 0.73
