Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,570799,Christian Villanueva,John Ryan Murphy,0,0,2,True,2018-07-06,Stolen,2B,2018
1B,2B,Stolen Base 2B,608671,Travis Jankowski,John Ryan Murphy,1,6,7,True,2018-07-05,Stolen,2B,2018
1B,2B,Stolen Base 2B,664056,Harrison Bader,John Ryan Murphy,4,6,8,True,2018-07-04,Stolen,2B,2018
1B,2B,Stolen Base 2B,596103,Austin Slater,John Ryan Murphy,3,8,6,True,2018-07-01,Stolen,2B,2018
1B,2B,Stolen Base 2B,607043,Brandon Nimmo,John Ryan Murphy,0,4,6,True,2018-06-16,Stolen,2B,2018
1B,,Caught Stealing 2B,596115,Trevor Story,John Ryan Murphy,0,1,4,False,2018-06-10,Caught,2B,2018
1B,2B,Stolen Base 2B,435622,Ian Desmond,John Ryan Murphy,2,4,6,False,2018-06-10,Stolen,2B,2018
1B,2B,Stolen Base 2B,606299,José Peraza,John Ryan Murphy,4,6,6,True,2018-05-30,Stolen,2B,2018
1B,2B,Stolen Base 2B,607043,Brandon Nimmo,John Ryan Murphy,2,1,3,False,2018-05-19,Stolen,2B,2018
1B,2B,Stolen Base 2B,456715,Lorenzo Cain,John Ryan Murphy,0,0,1,True,2018-05-16,Stolen,2B,2018
1B,2B,Stolen Base 2B,542340,Jonathan Villar,John Ryan Murphy,0,2,2,True,2018-05-14,Stolen,2B,2018
1B,2B,Stolen Base 2B,592885,Christian Yelich,John Ryan Murphy,2,3,7,True,2018-05-14,Stolen,2B,2018
1B,2B,Stolen Base 2B,456715,Lorenzo Cain,John Ryan Murphy,2,4,7,True,2018-05-14,Stolen,2B,2018
1B,2B,Stolen Base 2B,607208,Trea Turner,John Ryan Murphy,3,1,7,False,2018-04-29,Stolen,2B,2018
1B,2B,Stolen Base 2B,570799,Christian Villanueva,John Ryan Murphy,2,2,3,True,2018-04-21,Stolen,2B,2018
1B,,Caught Stealing 2B,641319,Carlos Asuaje,John Ryan Murphy,3,2,4,True,2018-04-21,Caught,2B,2018
1B,,Caught Stealing 2B,593428,Xander Bogaerts,John Ryan Murphy,0,0,1,True,2015-09-28,Caught,2B,2015
1B,,Caught Stealing 2B,493351,Alexei Ramirez,John Ryan Murphy,3,0,4,True,2015-09-24,Caught,2B,2015
1B,2B,Stolen Base 2B,518626,Josh Donaldson,John Ryan Murphy,0,0,1,True,2015-09-12,Stolen,2B,2015
1B,2B,Stolen Base 2B,519184,Ben Revere,John Ryan Murphy,0,4,2,True,2015-09-12,Stolen,2B,2015
1B,2B,Stolen Base 2B,518626,Josh Donaldson,John Ryan Murphy,0,0,1,True,2015-09-10,Stolen,2B,2015
1B,2B,Stolen Base 2B,519184,Ben Revere,John Ryan Murphy,0,4,2,True,2015-09-10,Stolen,2B,2015
1B,2B,Stolen Base 2B,596119,Blake Swihart,John Ryan Murphy,8,13,9,False,2015-09-02,Stolen,2B,2015
1B,2B,Stolen Base 2B,434670,Hanley Ramirez,John Ryan Murphy,2,1,8,True,2015-08-06,Stolen,2B,2015
1B,2B,Stolen Base 2B,628329,Rusney Castillo,John Ryan Murphy,4,3,7,True,2015-08-04,Stolen,2B,2015
1B,2B,Stolen Base 2B,598265,Jackie Bradley Jr.,John Ryan Murphy,4,3,7,True,2015-08-04,Stolen,2B,2015
1B,2B,Stolen Base 2B,594809,Adam Eaton,John Ryan Murphy,0,1,3,False,2015-08-02,Stolen,2B,2015
1B,2B,Stolen Base 2B,594809,Adam Eaton,John Ryan Murphy,0,1,1,False,2015-07-31,Stolen,2B,2015
1B,2B,Stolen Base 2B,514888,Jose Altuve,John Ryan Murphy,2,0,6,False,2015-06-25,Stolen,2B,2015
2B,3B,Stolen Base 3B,514888,Jose Altuve,John Ryan Murphy,3,0,8,False,2015-06-25,Stolen,3B,2015
1B,2B,Stolen Base 2B,542993,Billy Burns,John Ryan Murphy,0,0,6,False,2015-05-31,Stolen,2B,2015
2B,3B,Stolen Base 3B,542993,Billy Burns,John Ryan Murphy,0,0,6,False,2015-05-31,Stolen,3B,2015
1B,,Caught Stealing 2B,502481,Jarrod Dyson,John Ryan Murphy,11,1,5,True,2015-05-25,Caught,2B,2015
1B,2B,Stolen Base 2B,444876,Alcides Escobar,John Ryan Murphy,1,1,3,False,2015-05-16,Stolen,2B,2015
1B,2B,Stolen Base 2B,607680,Kevin Pillar,John Ryan Murphy,0,0,4,False,2015-05-04,Stolen,2B,2015
1B,2B,Stolen Base 2B,431145,Russell Martin,John Ryan Murphy,3,1,8,False,2015-05-04,Stolen,2B,2015
1B,,Caught Stealing 2B,457775,Desmond Jennings,John Ryan Murphy,2,1,1,False,2015-04-19,Caught,2B,2015
1B,2B,Stolen Base 2B,457775,Desmond Jennings,John Ryan Murphy,2,4,4,False,2015-04-19,Stolen,2B,2015
1B,,Caught Stealing 2B,457477,Alejandro De Aza,John Ryan Murphy,0,0,1,False,2015-04-13,Caught,2B,2015
1B,2B,Stolen Base 2B,457477,Alejandro De Aza,John Ryan Murphy,5,6,7,False,2015-04-13,Stolen,2B,2015
1B,,Caught Stealing 2B,430945,Adam Jones,John Ryan Murphy,5,6,8,False,2015-04-13,Caught,2B,2015
1B,2B,Stolen Base 2B,593428,Xander Bogaerts,John Ryan Murphy,1,3,7,True,2015-04-11,Stolen,2B,2015
1B,2B,Stolen Base 2B,435063,Mike Napoli,John Ryan Murphy,4,8,9,True,2015-04-11,Stolen,2B,2015
1B,,Caught Stealing 2B,488862,Yunel Escobar,John Ryan Murphy,0,3,2,True,2015-04-03,Caught,2B,2015
1B,2B,Stolen Base 2B,622441,Rafael Bautista,John Ryan Murphy,1,3,6,True,2015-04-03,Stolen,2B,2015
1B,2B,Stolen Base 2B,544925,Matthew den Dekker,John Ryan Murphy,1,4,7,True,2015-04-03,Stolen,2B,2015
1B,2B,Stolen Base 2B,628329,Rusney Castillo,John Ryan Murphy,1,2,5,False,2014-09-26,Stolen,2B,2014
1B,,Caught Stealing 2B,443558,Nelson Cruz,John Ryan Murphy,2,0,5,False,2014-09-12,Caught,2B,2014
1B,2B,Stolen Base 2B,450641,Quintin Berry,John Ryan Murphy,0,0,9,False,2014-09-12,Stolen,2B,2014
1B,2B,Stolen Base 2B,450641,Quintin Berry,John Ryan Murphy,0,0,9,False,2014-08-12,Stolen,2B,2014
2B,3B,Stolen Base 3B,542454,Danny Santana,John Ryan Murphy,0,1,3,True,2014-05-30,Stolen,3B,2014
1B,2B,Stolen Base 2B,460576,Carlos Gómez,John Ryan Murphy,0,3,1,False,2014-05-11,Stolen,2B,2014
1B,2B,Stolen Base 2B,516416,Jean Segura,John Ryan Murphy,0,3,2,False,2014-05-11,Stolen,2B,2014
1B,,Caught Stealing 2B,430001,Rickie Weeks Jr.,John Ryan Murphy,5,3,6,False,2014-05-11,Caught,2B,2014
1B,2B,Stolen Base 2B,545361,Mike Trout,John Ryan Murphy,4,3,9,True,2014-04-26,Stolen,2B,2014
1B,2B,Stolen Base 2B,501888,Ryan Kalish,John Ryan Murphy,0,0,3,True,2014-04-16,Stolen,2B,2014
1B,,Caught Stealing 2B,519203,Anthony Rizzo,John Ryan Murphy,0,0,4,True,2014-04-16,Caught,2B,2014
1B,2B,Stolen Base 2B,461865,Andrew Romine,John Ryan Murphy,1,4,9,True,2016-04-30,Stolen,2B,2016
1B,2B,Stolen Base 2B,457787,Danny Espinosa,John Ryan Murphy,5,5,15,False,2016-04-24,Stolen,2B,2016
1B,2B,Stolen Base 2B,542364,Rafael Ortega,John Ryan Murphy,2,4,2,True,2016-04-16,Stolen,2B,2016
1B,,Caught Stealing 2B,488862,Yunel Escobar,John Ryan Murphy,3,4,5,True,2016-04-16,Caught,2B,2016
1B,2B,Stolen Base 2B,453943,Todd Frazier,John Ryan Murphy,1,3,8,True,2016-04-14,Stolen,2B,2016
